variable,n,Condition,mean,ci
art_14_5,40,Water-lillies,4.675,0.449
art_14_5,44,Bento,4.136,0.543
art_87_1,37,Water-lillies,4.486,0.519
art_87_1,42,Bento,4.238,0.519
art_14_3,40,Water-lillies,4.45,0.486
art_14_3,44,Bento,4.273,0.497
art_14_11,40,Water-lillies,4.275,0.552
art_14_11,44,Bento,3.727,0.584
art_14_10,40,Water-lillies,3.9,0.555
art_14_10,44,Bento,4,0.579
art_87_25,37,Water-lillies,3.568,0.631
art_87_25,42,Bento,3.81,0.643
art_87_4,37,Water-lillies,3.595,0.596
art_87_4,42,Bento,3.738,0.612
art_87_20,37,Water-lillies,3.757,0.574
art_87_20,42,Bento,3.357,0.528
art_14_1,40,Water-lillies,3.65,0.413
art_14_1,44,Bento,3.409,0.505
art_87_2,37,Water-lillies,3.73,0.684
art_87_2,42,Bento,3.214,0.578
art_14_4,40,Water-lillies,3.65,0.654
art_14_4,44,Bento,2.955,0.499
art_87_37,37,Water-lillies,3.081,0.631
art_87_37,42,Bento,3.143,0.485
art_87_26,37,Water-lillies,3.135,0.677
art_87_26,42,Bento,3.071,0.632
art_87_6,37,Water-lillies,2.703,0.532
art_87_6,42,Bento,3.405,0.576
art_87_7,37,Water-lillies,2.703,0.603
art_87_7,42,Bento,3.405,0.551
art_87_38,37,Water-lillies,2.838,0.636
art_87_38,42,Bento,3.238,0.599
art_87_21,37,Water-lillies,3.054,0.685
art_87_21,42,Bento,2.929,0.521
art_87_29,37,Water-lillies,2.892,0.52
art_87_29,42,Bento,3.071,0.526
art_87_30,37,Water-lillies,2.541,0.581
art_87_30,42,Bento,2.976,0.602
art_87_15,37,Water-lillies,2.811,0.496
art_87_15,42,Bento,2.333,0.46
art_14_9,40,Water-lillies,2.45,0.475
art_14_9,44,Bento,2.659,0.444
art_14_2,40,Water-lillies,2.55,0.416
art_14_2,44,Bento,2.386,0.426
art_87_33,37,Water-lillies,2.703,0.608
art_87_33,42,Bento,2.095,0.434
art_87_23,37,Water-lillies,2.054,0.49
art_87_23,42,Bento,2.714,0.539
art_87_40,37,Water-lillies,2.054,0.49
art_87_40,42,Bento,2.595,0.515
art_87_8,37,Water-lillies,2.027,0.481
art_87_8,42,Bento,2.476,0.525
art_87_41,37,Water-lillies,2.027,0.575
art_87_41,42,Bento,2.167,0.537
art_14_12,40,Water-lillies,1.9,0.451
art_14_12,44,Bento,2.273,0.55
art_14_8,40,Water-lillies,1.975,0.38
art_14_8,44,Bento,2.045,0.42
art_87_17,37,Water-lillies,1.919,0.474
art_87_17,42,Bento,1.881,0.447
art_87_16,37,Water-lillies,1.838,0.42
art_87_16,42,Bento,1.905,0.471
art_87_34,37,Water-lillies,2,0.458
art_87_34,42,Bento,1.738,0.408
art_87_10,37,Water-lillies,1.838,0.468
art_87_10,42,Bento,1.881,0.42
art_87_32,37,Water-lillies,1.838,0.441
art_87_32,42,Bento,1.857,0.485
art_14_6,40,Water-lillies,1.6,0.259
art_14_6,44,Bento,1.932,0.367
art_87_31,37,Water-lillies,1.405,0.404
art_87_31,42,Bento,1.714,0.458
art_87_19,37,Water-lillies,1.757,0.541
art_87_19,42,Bento,1.238,0.274
art_87_24,37,Water-lillies,1.432,0.31
art_87_24,42,Bento,1.524,0.332
art_87_3,37,Water-lillies,1.27,0.203
art_87_3,42,Bento,1.5,0.325
art_87_22,37,Water-lillies,1.541,0.374
art_87_22,42,Bento,1.19,0.172
art_87_13,37,Water-lillies,1.216,0.195
art_87_13,42,Bento,1.5,0.317
art_87_9,37,Water-lillies,1.432,0.31
art_87_9,42,Bento,1.262,0.323
art_87_36,37,Water-lillies,1.216,0.285
art_87_36,42,Bento,1.405,0.276
art_87_18,37,Water-lillies,1.297,0.367
art_87_18,42,Bento,1.262,0.207
art_87_27,37,Water-lillies,1.081,0.121
art_87_27,42,Bento,1.476,0.414
art_14_7,40,Water-lillies,1.075,0.085
art_14_7,44,Bento,1.455,0.241
art_87_39,37,Water-lillies,1.243,0.346
art_87_39,42,Bento,1.286,0.339
art_87_5,37,Water-lillies,1.243,0.228
art_87_5,42,Bento,1.286,0.21
art_14_13,40,Water-lillies,1.075,0.085
art_14_13,44,Bento,1.295,0.275
art_87_35,37,Water-lillies,1.216,0.295
art_87_35,42,Bento,1.143,0.147
art_87_28,37,Water-lillies,1.162,0.242
art_87_28,42,Bento,1.095,0.115
art_87_11,37,Water-lillies,1.081,0.164
art_87_11,42,Bento,1.167,0.181
art_14_14,40,Water-lillies,1.075,0.085
art_14_14,44,Bento,1.159,0.16
art_87_12,37,Water-lillies,1.081,0.164
art_87_12,42,Bento,1.024,0.048
art_87_14,37,Water-lillies,1.081,0.121
art_87_14,42,Bento,1.024,0.048
