SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_31je21pX9RLCwjs,Female,7,48,7,7,7,7,non_art,69,"Yes, I saw art",7,6.5,6,7,7,pre,5,3,2.5,2,7,6
R_31je21pX9RLCwjs,Female,7,48,7,7,7,7,non_art,69,"Yes, I saw art",7,6.5,6,7,7,post,7,1,2,1.1666666666666667,7,5.75
R_33wi8Y1zeHqMExY,Female,4,26,1,1,1,4,non_art,46,"Yes, I saw art",5.5,7,6,6,7,pre,5,1,2.8333333333333335,3.6666666666666665,4.2,4
R_33wi8Y1zeHqMExY,Female,4,26,1,1,1,4,non_art,46,"Yes, I saw art",5.5,7,6,6,7,post,4,1,2.3333333333333335,4,4.4,4.5
R_2SJLXPYWQBD9ynW,Female,5,35,4,6,6,7,art,32,"Yes, I saw art",2.5,4.5,6,3.5,3,pre,5,2,3,4.5,4.2,4.25
R_2SJLXPYWQBD9ynW,Female,5,35,4,6,6,7,art,32,"Yes, I saw art",2.5,4.5,6,3.5,3,post,5,2,3.1666666666666665,3.5,3.8,4
R_1hL6UZoxItymwzD,Female,6,20,7,4,5,4,art,26,"Yes, I saw art",4,3,6.5,6,4.5,pre,5,2,1.6666666666666667,2.5,4.2,3.75
R_1hL6UZoxItymwzD,Female,6,20,7,4,5,4,art,26,"Yes, I saw art",4,3,6.5,6,4.5,post,6,2,2.8333333333333335,2.1666666666666665,5,4
R_10xtThahxlvrWgm,Female,3,29,4,4,5,5,art,26,"Yes, I saw art",5.5,6,4,3.5,4.5,pre,3,4,4,4.333333333333333,3,3.25
R_10xtThahxlvrWgm,Female,3,29,4,4,5,5,art,26,"Yes, I saw art",5.5,6,4,3.5,4.5,post,4,2,3.5,3,3.4,3.25
R_1IPYaERXxgmP3FN,Female,4,30,2,2,4,4,non_art,25,"Yes, I saw art",3.5,5.5,5.5,3.5,3.5,pre,5,1,2.5,2.3333333333333335,3.6,5
R_1IPYaERXxgmP3FN,Female,4,30,2,2,4,4,non_art,25,"Yes, I saw art",3.5,5.5,5.5,3.5,3.5,post,4,2,2.1666666666666665,3.3333333333333335,3.6,4.5
R_cARfdAiMIWneENP,Male,6,43,4,3,6,7,art,23,"Yes, I saw art",4.5,6,4,4,6,pre,2,5,4,5,4.8,4.5
R_cARfdAiMIWneENP,Male,6,43,4,3,6,7,art,23,"Yes, I saw art",4.5,6,4,4,6,post,4,5,3.8333333333333335,3.8333333333333335,4.8,4.5
R_3rNWgJER9kS2Mwv,Female,7,34,3,5,4,5,art,28,"Yes, I saw art",7,4.5,3.5,2.5,6,pre,6,2,2.5,2.3333333333333335,6.2,6
R_3rNWgJER9kS2Mwv,Female,7,34,3,5,4,5,art,28,"Yes, I saw art",7,4.5,3.5,2.5,6,post,6,2,2.3333333333333335,3.1666666666666665,6.4,5.25
R_b31zIH9xILzLP9v,Female,7,30,3,2,1,1,non_art,28,"No, I experienced something else",5,6,5,5,6,pre,6,1,3,1.8333333333333333,5.6,6.25
R_b31zIH9xILzLP9v,Female,7,30,3,2,1,1,non_art,28,"No, I experienced something else",5,6,5,5,6,post,6,1,3.1666666666666665,1.8333333333333333,5.6,6.25
R_2pM5JVZaQMi6U1x,Female,7,35,1,2,4,6,non_art,63,"Yes, I saw art",5.5,6,6.5,6,6,pre,6,1,3.1666666666666665,1.6666666666666667,4.8,6.25
R_2pM5JVZaQMi6U1x,Female,7,35,1,2,4,6,non_art,63,"Yes, I saw art",5.5,6,6.5,6,6,post,7,1,2.5,1.6666666666666667,5,6.25
R_sXygftYL7fWUubf,Female,5,42,1,2,2,4,non_art,24,"Yes, I saw art",2.5,3,6.5,4,4.5,pre,5,3,3.6666666666666665,4.5,3,4.75
